icd_value,diagnosisname,count,sepsis_category,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
I10,Essential (primary) hypertension,134093,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Hypertensive diseases (I10-I16),Essential (primary) hypertension
R94.31,Abnormal electrocardiogram (ECG) (EKG),111314,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on diagnostic imaging and in function studies, without diagnosis (R90-R94)",Abnormal results of function studies
R07.9,"Chest pain, unspecified",90861,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Pain in throat and chest
Z20.822,Contact with and (suspected) exposure to covid-19,86002,,ICD-10-CM,,,
R07.89,Other chest pain,83139,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Pain in throat and chest
R06.02,Shortness of breath,81384,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Abnormalities of breathing
R10.9,Unspecified abdominal pain,74819,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Abdominal and pelvic pain
N17.9,"Acute kidney failure, unspecified",68802,organ_dysfunction,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Acute kidney failure and chronic kidney disease (N17-N19),Acute kidney failure
E78.5,"Hyperlipidemia, unspecified",57960,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),Disorders of lipoprotein metabolism and other lipidemias
E11.9,Type 2 diabetes mellitus without complications (CMS code),52599,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Diabetes mellitus (E08-E13),Type 2 diabetes mellitus
N39.0,"Urinary tract infection, site not specified",52532,infection_urinary,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Other diseases of the urinary system (N30-N39),Other disorders of urinary system
D64.9,"Anemia, unspecified",52173,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Aplastic and other anemias and other bone marrow failure syndromes (D60-D64),Other anemias
R00.2,Palpitations,49605,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Abnormalities of heart beat
A41.9,"Sepsis, unspecified organism (CMS code)",46751,sepsis_bacteremia,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Other bacterial diseases (A30-A49),Other sepsis
I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris,46692,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Ischemic heart diseases (I20-I25),Chronic ischemic heart disease
J18.9,"Pneumonia, unspecified organism",45451,infection_respiratory,ICD-10-CM,Diseases of the respiratory system (J00-J99),Influenza and pneumonia (J09-J18),"Pneumonia, unspecified organism"
R41.82,"Altered mental status, unspecified",44216,organ_dysfunction,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)",Other symptoms and signs involving cognitive functions and awareness
R42,Dizziness and giddiness,43652,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)",Dizziness and giddiness
I48.91,Unspecified atrial fibrillation (CMS code),42298,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Atrial fibrillation and flutter
R11.2,"Nausea with vomiting, unspecified",41219,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Nausea and vomiting
R55,Syncope and collapse,40623,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Syncope and collapse
E87.1,Hypo-osmolality and hyponatremia,40157,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),"Other disorders of fluid, electrolyte and acid-base balance"
R50.9,"Fever, unspecified",36323,fever,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Fever of other and unknown origin
Z79.899,Other long term (current) drug therapy,36318,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Long term (current) drug therapy
R19.7,"Diarrhea, unspecified",36240,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Other symptoms and signs involving the digestive system and abdomen
Z87.891,Personal history of nicotine dependence,34035,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of other diseases and conditions
Z20.828,Contact with and (suspected) exposure to other viral communicable diseases,33767,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to communicable diseases (Z20-Z29),Contact with and (suspected) exposure to communicable diseases
G89.29,Other chronic pain,33467,,ICD-10-CM,Diseases of the nervous system (G00-G99),Other disorders of the nervous system (G89-G99),"Pain, not elsewhere classified"
K21.9,Gastro-esophageal reflux disease without esophagitis,33139,,ICD-10-CM,Diseases of the digestive system (K00-K95),"Diseases of esophagus, stomach and duodenum (K20-K31)",Gastro-esophageal reflux disease
R00.0,"Tachycardia, unspecified",32381,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Abnormalities of heart beat
I50.9,"Heart failure, unspecified (CMS code)",30614,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Heart failure
R09.02,Hypoxemia,28523,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Other symptoms and signs involving the circulatory and respiratory system
Z66,Do not resuscitate,27981,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Do not resuscitate status (Z66),Do not resuscitate
R45.851,Suicidal ideations,27696,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)",Symptoms and signs involving emotional state
E87.6,Hypokalemia,27438,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),"Other disorders of fluid, electrolyte and acid-base balance"
K59.00,"Constipation, unspecified",26850,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Other functional intestinal disorders
R53.1,Weakness,26490,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Malaise and fatigue
N18.9,"Chronic kidney disease, unspecified",25041,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Acute kidney failure and chronic kidney disease (N17-N19),Chronic kidney disease (CKD)
F41.9,"Anxiety disorder, unspecified",24784,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders (F40-F48)",Other anxiety disorders
R51.9,"Headache, unspecified",24675,,ICD-10-CM,,,
R10.13,Epigastric pain,23922,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Abdominal and pelvic pain
I95.9,"Hypotension, unspecified",23335,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other and unspecified disorders of the circulatory system (I95-I99),Hypotension
E03.9,"Hypothyroidism, unspecified",22119,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Disorders of thyroid gland (E00-E07),Other hypothyroidism
J96.01,Acute respiratory failure with hypoxia (CMS code),21966,organ_dysfunction,ICD-10-CM,Diseases of the respiratory system (J00-J99),Other diseases of the respiratory system (J96-J99),"Respiratory failure, not elsewhere classified"
R91.8,Other nonspecific abnormal finding of lung field,21330,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on diagnostic imaging and in function studies, without diagnosis (R90-R94)",Abnormal findings on diagnostic imaging of lung
J90,"Pleural effusion, not elsewhere classified",21125,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Other diseases of the pleura (J90-J94),"Pleural effusion, not elsewhere classified"
E87.5,Hyperkalemia,21114,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),"Other disorders of fluid, electrolyte and acid-base balance"
Z79.01,Long term (current) use of anticoagulants,20663,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Long term (current) drug therapy
D72.829,"Elevated white blood cell count, unspecified",20536,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Other disorders of blood and blood-forming organs (D70-D77),Other disorders of white blood cells
G93.40,"Encephalopathy, unspecified",20434,organ_dysfunction,ICD-10-CM,Diseases of the nervous system (G00-G99),Other disorders of the nervous system (G89-G99),Other disorders of brain
R11.0,Nausea,20372,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Nausea and vomiting
IMO0002,Other accident caused by striking against or being struck accidentally by objects or persons with or without subsequent fall,20181,,ICD-10-CM,,,
W19.XXXA,"Unspecified fall, initial encounter",20126,,ICD-10-CM,External causes of morbidity (V00-Y99),"Slipping, tripping, stumbling and falls (W00-W19)",Unspecified fall
N18.6,End stage renal disease (CMS code),20049,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Acute kidney failure and chronic kidney disease (N17-N19),Chronic kidney disease (CKD)
D69.6,"Thrombocytopenia, unspecified",19095,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Coagulation defects, purpura and other hemorrhagic conditions (D65-D69)",Purpura and other hemorrhagic conditions
R05.9,Cough,18821,,ICD-10-CM,,,
F32.9,"Major depressive disorder, single episode, unspecified",18379,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mood [affective] disorders (F30-F39),"Major depressive disorder, single episode"
R10.84,Generalized abdominal pain,18343,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Abdominal and pelvic pain
K92.2,"Gastrointestinal hemorrhage, unspecified",18048,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of the digestive system (K90-K95),Other diseases of digestive system
I63.9,"Cerebral infarction, unspecified (CMS code)",17987,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Cerebrovascular diseases (I60-I69),Cerebral infarction
R56.9,Unspecified convulsions (CMS code),17910,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),"Convulsions, not elsewhere classified"
I12.9,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",17766,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Hypertensive diseases (I10-I16),Hypertensive chronic kidney disease
S09.90XA,"Unspecified injury of head, initial encounter",17450,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the head (S00-S09),Other and unspecified injuries of head
R21,Rash and other nonspecific skin eruption,17291,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Rash and other nonspecific skin eruption
Z11.52,Encounter for screening for COVID-19,17200,,ICD-10-CM,,,
R53.83,Other fatigue,17114,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Malaise and fatigue
Z71.89,"Goals of care, counseling/discussion",17084,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons encountering health services in other circumstances (Z69-Z76),"Persons encountering health services for other counseling and medical advice, not elsewhere classified"
M54.50,"Low back pain, unspecified",16999,,ICD-10-CM,,,
M54.9,"Dorsalgia, unspecified",16907,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other dorsopathies (M50-M54),Dorsalgia
R79.89,Other specified abnormal findings of blood chemistry,16664,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on examination of blood, without diagnosis (R70-R79)",Other abnormal findings of blood chemistry
U07.1,COVID-19,16662,,ICD-10-CM,,,
Z51.5,Encounter for palliative care,16499,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Encounters for other specific health care (Z40-Z53),Encounter for other aftercare and medical care
Y92.9,Unspecified place of occurrence,16476,,ICD-10-CM,External causes of morbidity (V00-Y99),Supplementary factors related to causes of morbidity classified elsewhere (Y90-Y99),Place of occurrence of the external cause
J44.9,"Chronic obstructive pulmonary disease, unspecified (CMS code)",16155,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Chronic lower respiratory diseases (J40-J47),Other chronic obstructive pulmonary disease
Z79.4,Long term (current) use of insulin (CMS code),15900,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Long term (current) drug therapy
M54.2,Cervicalgia,15746,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other dorsopathies (M50-M54),Dorsalgia
I48.0,Paroxysmal atrial fibrillation (CMS code),15559,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Atrial fibrillation and flutter
R33.9,"Retention of urine, unspecified",15512,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the genitourinary system (R30-R39),Retention of urine
J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation (CMS code),15250,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Chronic lower respiratory diseases (J40-J47),Other chronic obstructive pulmonary disease
E87.70,"Fluid overload, unspecified",15148,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),"Other disorders of fluid, electrolyte and acid-base balance"
G93.41,Metabolic encephalopathy,15129,organ_dysfunction,ICD-10-CM,Diseases of the nervous system (G00-G99),Other disorders of the nervous system (G89-G99),Other disorders of brain
Z86.73,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",15080,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of certain other diseases
D50.9,"Iron deficiency anemia, unspecified",14959,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Nutritional anemias (D50-D53),Iron deficiency anemia
M79.89,Other specified soft tissue disorders,14813,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other soft tissue disorders (M70-M79),"Other and unspecified soft tissue disorders, not elsewhere classified"
E86.1,Hypovolemia,14750,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),Volume depletion
J45.909,"Unspecified asthma, uncomplicated",14728,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Chronic lower respiratory diseases (J40-J47),Asthma
N20.0,Calculus of kidney,14700,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Urolithiasis (N20-N23),Calculus of kidney and ureter
F10.10,"Alcohol abuse, uncomplicated",14590,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mental and behavioral disorders due to psychoactive substance use (F10-F19),Alcohol related disorders
R52,"Pain, unspecified",14327,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),"Pain, unspecified"
E87.2,Acidosis,14280,organ_dysfunction,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),"Other disorders of fluid, electrolyte and acid-base balance"
Z79.82,Long term (current) use of aspirin,14099,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Long term (current) drug therapy
R11.10,"Vomiting, unspecified",14060,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Nausea and vomiting
L03.90,Cellulitis,13990,infection_skin,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Infections of the skin and subcutaneous tissue (L00-L08),Cellulitis and acute lymphangitis
E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease (CMS code),13831,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Diabetes mellitus (E08-E13),Type 2 diabetes mellitus
R18.8,Other ascites,13822,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Ascites
F32.A,"Depression, unspecified",13749,,ICD-10-CM,,,
I26.99,Other pulmonary embolism without acute cor pulmonale (CMS code),13680,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),Pulmonary embolism
D62,Acute posthemorrhagic anemia,13566,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Aplastic and other anemias and other bone marrow failure syndromes (D60-D64),Acute posthemorrhagic anemia
G47.33,Obstructive sleep apnea (adult) (pediatric),13512,,ICD-10-CM,Diseases of the nervous system (G00-G99),Episodic and paroxysmal disorders (G40-G47),Sleep disorders
Z82.49,Family history of ischemic heart disease and other diseases of the circulatory system,13464,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Family history of certain disabilities and chronic diseases (leading to disablement)
E86.0,Dehydration,13434,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),Volume depletion
R13.10,"Dysphagia, unspecified",13317,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Aphagia and dysphagia
R78.81,Bacteremia,13250,sepsis_bacteremia,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on examination of blood, without diagnosis (R70-R79)","Findings of drugs and other substances, not normally found in blood"
R10.31,Right lower quadrant pain,13221,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Abdominal and pelvic pain
R53.81,Other malaise and fatigue,13060,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Malaise and fatigue
R62.7,Adult failure to thrive,12926,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Lack of expected normal physiological development in childhood and adults
D84.9,"Immunodeficiency, unspecified",12924,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Certain disorders involving the immune mechanism (D80-D89),Other immunodeficiencies
G89.3,Neoplasm related pain (acute) (chronic),12912,,ICD-10-CM,Diseases of the nervous system (G00-G99),Other disorders of the nervous system (G89-G99),"Pain, not elsewhere classified"
I47.1,Supraventricular tachycardia,12857,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Paroxysmal tachycardia
I49.9,"Cardiac arrhythmia, unspecified",12697,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Other cardiac arrhythmias
N12,Pyelonephritis,12653,infection_urinary,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Renal tubulo-interstitial diseases (N10-N16),"Tubulo-interstitial nephritis, not specified as acute or chronic"
F41.1,"Anxiety state, unspecified",12515,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders (F40-F48)",Other anxiety disorders
K92.1,Melena,12234,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of the digestive system (K90-K95),Other diseases of digestive system
R06.00,"Dyspnea, unspecified",12058,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Abnormalities of breathing
G40.909,"Epilepsy, unspecified, not intractable, without status epilepticus (CMS code)",11976,,ICD-10-CM,Diseases of the nervous system (G00-G99),Episodic and paroxysmal disorders (G40-G47),Epilepsy and recurrent seizures
N40.0,Benign prostatic hyperplasia without lower urinary tract symptoms,11897,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Diseases of male genital organs (N40-N53),Benign prostatic hyperplasia
Z99.2,Dependence on renal dialysis,11832,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),"Dependence on enabling machines and devices, not elsewhere classified"
J69.0,Pneumonitis due to inhalation of food and vomit (CMS code),11754,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Lung diseases due to external agents (J60-J70),Pneumonitis due to solids and liquids
F03.90,"Unspecified dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety (CMS code)",11734,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mental disorders due to known physiological conditions (F01-F09),Unspecified dementia
I50.23,Acute on chronic systolic (congestive) heart failure (CMS code),11716,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Heart failure
I11.0,Hypertensive heart disease with heart failure (CMS code),11698,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Hypertensive diseases (I10-I16),Hypertensive heart disease
F15.10,"Other stimulant abuse, uncomplicated (CMS code)",11663,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mental and behavioral disorders due to psychoactive substance use (F10-F19),Other stimulant related disorders
J06.9,"Acute upper respiratory infection, unspecified",11645,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Acute upper respiratory infections (J00-J06),Acute upper respiratory infections of multiple and unspecified sites
R00.1,"Bradycardia, unspecified",11561,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Abnormalities of heart beat
D63.1,Anemia in chronic kidney disease,11479,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Aplastic and other anemias and other bone marrow failure syndromes (D60-D64),Anemia in chronic diseases classified elsewhere
K52.9,"Noninfective gastroenteritis and colitis, unspecified",11441,,ICD-10-CM,Diseases of the digestive system (K00-K95),Noninfective enteritis and colitis (K50-K52),Other and unspecified noninfective gastroenteritis and colitis
K74.60,Unspecified cirrhosis of liver (CMS code),11397,,ICD-10-CM,Diseases of the digestive system (K00-K95),Diseases of liver (K70-K77),Fibrosis and cirrhosis of liver
E87.20,"Acidosis, unspecified",11363,,ICD-10-CM,,,
Z94.0,Kidney transplant status,11329,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Transplanted organ and tissue status
E88.09,"Other disorders of plasma-protein metabolism, not elsewhere classified",10935,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),Other and unspecified metabolic disorders
E66.9,"Obesity, unspecified",10755,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)","Overweight, obesity and other hyperalimentation (E65-E68)",Overweight and obesity
G47.00,"Insomnia, unspecified",10750,,ICD-10-CM,Diseases of the nervous system (G00-G99),Episodic and paroxysmal disorders (G40-G47),Sleep disorders
F17.210,"Nicotine dependence, cigarettes, uncomplicated",10685,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mental and behavioral disorders due to psychoactive substance use (F10-F19),Nicotine dependence
R60.0,Localized edema,10653,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),"Edema, not elsewhere classified"
R10.32,Left lower quadrant pain,10633,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Abdominal and pelvic pain
I21.4,Non-ST elevation (NSTEMI) myocardial infarction (CMS code),10598,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Ischemic heart diseases (I20-I25),Acute myocardial infarction
R10.11,Right upper quadrant pain,10282,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Abdominal and pelvic pain
C79.51,Secondary malignant neoplasm of bone (CMS code),10236,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of ill-defined, other secondary and unspecified sites (C76-C80)",Secondary malignant neoplasm of other and unspecified sites
K56.609,SBO (small bowel obstruction) (CMS code),9998,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Paralytic ileus and intestinal obstruction without hernia
Z98.890,Other specified postprocedural states,9889,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Other postprocedural states
F29,Unspecified psychosis not due to a substance or known physiological condition (CMS code),9821,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders (F20-F29)",Unspecified psychosis not due to a substance or known physiological condition
Z88.8,"Allergy status to other drugs, medicaments and biological substances",9805,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),"Allergy status to drugs, medicaments and biological substances"
Z78.9,Other specified health status,9723,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Other specified health status
R51,Headache,9708,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Headache
I25.2,Old myocardial infarction,9675,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Ischemic heart diseases (I20-I25),Chronic ischemic heart disease
E46,Unspecified protein-calorie malnutrition,9611,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Malnutrition (E40-E46),Unspecified protein-calorie malnutrition
